Question,Option_1,Option_2,Option_3,Option_4,RC,year
1. El fosfolamban:,1. Regula la Ca2+-ATPasa del retículo sarcoplásmico.,2. Es un fosfolípido de la membrana plasmática.,3. Bloquea el receptor de dihidropiridinas.,4. Activa receptores de rianodina en retículo sarcoplásmico.,1,2018
"2. En una neurona, a un potencial de membrana de 0 mV:",1. Salen iones Na+.,2. Salen iones K+.,3. Salen iones Ca2+.,"4. No hay movimiento de iones, por alcanzarse el equilibrio eléctrico.",2,2018
3. Proteína de la membrana plasmática implicada en exocitosis sináptica:,1. Sinaptobrevina.,2. NSF (factor sensible a n-etilmaleimida).,3. Sinaptotagmina.,4. Sintaxina.,4,2018
4. La glucosa se transporta al interior de las células por:,1. Difusión simple.,2. Difusión facilitada.,3. Transporte activo primario.,4. Endocitosis.,2,2018
5. Los receptores para la acetilcolina de tipo muscarínico:,1. Son canales iónicos.,2. Generan potenciales sinápticos rápidos.,3. Están asociados a proteínas G.,4. Se localizan en el músculo estriado esquelético.,3,2018
6. Los receptores que informan de la posición estática de la cabeza están en:,1. El oído medio.,2. El utrículo y el sáculo.,3. Los canales semicirculares.,4. La cóclea.,2,2018
7. Las fibras de los cordones posteriores (dorsales):,1. Proyectan al tálamo ipsilateral.,2. Son fibras motoras troncoencefálicas.,3. Se originan en neuronas espinales.,4. Envían información táctil discriminativa a núcleos bulbares.,4,2018
8. Los receptores T2R gustativos responden a estímulos asociados al sabor:,1. Ácido.,2. Umami.,3. Dulce.,4. Amargo.,4,2018
9. La LTP sináptica (potenciación a largo plazo) está mediada por receptores:,1. GABAA.,2. Nicotínicos.,3. NMDA.,4. Adrenérgicos.,3,2018
10. El núcleo supraquiasmático se localiza en:,1. Bulbo raquídeo.,2. Cerebelo.,3. Hipotálamo.,4. Ganglios basales.,3,2018
11. Las células bipolares tipo “on” de la retina:,1. Presentan receptores metabotrópicos de glutamato.,2. Poseen campos receptores en forma de barra.,3. Sus axones forman el nervio óptico.,4. Contactan sólo con bastones.,1,2018
12. La acomodación ocular está mediada por:,1. Fibras del sistema simpático.,2. Relajación de las fibras de la zónula del cristalino.,3. Aumento de la curvatura de la córnea.,4. Aumento del tamaño de la pupila.,2,2018
13. La corteza visual primaria se localiza en el lóbulo:,1. Frontal.,2. Parietal.,3. Temporal.,4. Occipital.,4,2018
14. El neurotransmisor de las neuronas pregangliones simpáticas es:,1. Noradrenalina.,2. Serotonina.,3. Dopamina.,4. Acetilcolina.,4,2018
15. La hormona tiroidea reduce:,1. Metabolismo basal.,2. Gasto cardíaco.,3. Gluconeogénesis.,4. Secreción de tirotropina.,4,2018
16. El estradiol:,1. Se transporta libre en plasma en un 80%.,2. Eleva la colesterolemia.,3. Se secreta por células de la granulosa.,4. Retrasa el cierre de las placas epifisarias,3,2018
17. La hormona antidiurética (ADH):,1. Aumenta la reabsorción renal de agua.,2. Aumenta la producción de orina.,3. Tras una hemorragia disminuye su secreción.,4. Aumenta la sudoración.,1,2018
18. La corticotropina (ACTH):,1. Se sintetiza en el hipotálamo.,2. Se sintetiza en la neurohipófisis.,3. Las células diana se localizan en la corteza suprarrenal.,4. El cortisol estimula su secreción.,3,2018
19. La parathormona (PTH) ejerce su acción fisiológica sobre:,"1. Hueso, favoreciendo el depósito de calcio.","2. Riñón, favoreciendo la excreción de calcio.","3. Riñón, favoreciendo la síntesis del 1,25dihidroxicolecalciferol.","4. Riñón, favoreciendo la síntesis del 24,25dihidroxicolecalciferol.",3,2018
20. El pico de secreción de LH previo a la ovulación está mediado por:,"1. Progesterona, por  retroalimentación positiva.","2. Estradiol, por retroalimentación positiva.","3. Progesterona, por retroalimentación negativa.","4. Estradiol, por retroalimentación negativa.",2,2018
"21. El plasma, pero no el suero, contiene:",1. Albúmina.,2. Fibrinógeno.,3. Sodio.,4. Glucosa.,2,2018
22. La eritropoyetina se produce en:,1. Riñón.,2. Pulmón.,3. Médula ósea.,4. Hipotálamo.,1,2018
23. La presión sanguínea es inferior a nivel de:,1. Arterias de gran calibre.,2. Arteriolas.,3. Capilares.,4. Vénulas.,4,2018
24. Los potenciales marcapasos cardíacos se inician por activación de canales:,1. Activados por hiperpolarización (HCN).,2. K+ activados por voltaje.,3. Na+ activados por despolarización.,4. K+ activados por acetilcolina.,1,2018
"25. En la fase de contracción isovolumétrica, el volumen ventricular es:",1. El telesistólico.,2. El sistólico.,3. El telediastólico.,4. Independiente de la precarga.,3,2018
26. El centro vasomotor se localiza en:,1. Bulbo raquídeo.,2. Hipotálamo.,3. Cerebelo.,4. Mesencéfalo.,1,2018
27. La ecuación del gas alveolar relaciona las presiones parciales de:,1. O2 y CO2 inspirados.,2. CO2 alveolar y espirado.,3. O2 y CO2 alveolares.,4. O2 alveolar y espirado.,3,2018
28. La técnica de dilución de nitrógeno en una espiración única (Fowler) sirve para medir:,1. Capacidad de difusión alveolar.,2. Volumen inspiratorio de reserva.,3. Volumen de espacio muerto.,4. Capacidad vital.,3,2018
29. El CO2 se transporta en plasma:,"1. Disuelto como gas, en un 80-90%.","2. Como ácido carbónico y bicarbonato, en un60-70%.",3. Exclusivamente unido a hemoglobina.,"4. Unido a proteínas plasmáticas, en un 90%.",2,2018
30. El surfactante pulmonar:,1. Permite que la inspiración en reposo sea pasiva.,2. Disminuye la tensión superficial de los alveolos.,3. Aumenta el trabajo realizado por los músculos respiratorios en la ventilación.,4. Facilita el colapso de los alveolos de menor tamaño.,2,2018
"31. El 2,3-difosfoglicerato:",1. Promueve la captación de O2 por la hemoglobina en los pulmones.,2. Su síntesis se estimula por oxihemoglobina.,3. Desplaza la curva de saturación de la hemoglobina hacia la derecha.,4. Tiende a unirse con la hemoglobina fetal.,3,2018
32. La filtración en el corpúsculo renal aumenta al incrementar:,1. La presión hidrostática en el capilar.,2. La presión osmótica coloidal en el capilar.,3. La presión hidrostática en la cápsula de Bowman,"4. La presión neta de filtración, pero sólo si supera los 120mmHg.",1,2018
33. El mecanismo multiplicador por contracorriente del asa de Henle se basa en que:,1. La rama ascendente es permeable al agua.,"2. La rama descendente reabsorbe Na+, Cl- y K+ en una proporción 1:2:1.",3. La osmolaridad del líquido intersticial es mayor en la médula que en la corteza renal.,4. El líquido tubular fluye en el mismo sentido en las asas de Henle descendente y ascendente.,3,2018
34. Las células intercaladas:,1. Se localizan en el túbulo proximal de la nefrona.,2. Participan en la regulación del pH del medio interno.,3. Carecen de anhidrasa carbónica.,4. Sus funciones están reguladas por ADH.,2,2018
35. El filtrado glomerular es próximo al aclaramiento de:,1. Glucosa.,2. Ácido paraaminohipúrico.,3. Inulina.,4. Sodio.,3,2018
"36. Si el pH arterial es 7.6, la PaCO2 20 mm Hg y la [𝐇𝐂𝐎𝟑 −] 19mM, hay:",1. Acidosis respiratoria.,2. Acidosis metabólica.,3. Alcalosis metabólica.,4. Alcalosis respiratoria.,4,2018
37. La fase faríngea de la deglución:,1. Está controlada por el centro de la deglución.,2. Es totalmente voluntaria.,3. Se inicia con la apertura de la glotis.,4. Termina con la contracción simultánea de los esfínteres faríngeos superior e inferior.,1,2018
38. Las células principales de las glándulas gástricas secretan:,1. Moco soluble.,2. Pepsinógeno.,3. HCl y factor intrínseco.,4. Factor intrínseco y gastrina.,2,2018
39. La digestión de los triglicéridos tiene lugar principalmente en:,"1. Intestino, por la lipasa pancreática.","2. Estómago, por la lipasa gástrica.","3. Intestino, por lipasas del borde en cepillo del enterocito.","4. Boca, por la lipasa lingual.",1,2018
40. El plexo submucoso o de Meissner:,1. Está constituido por células insterticiales de Cajal.,2. Se localiza entre las capas mucosa y circular muscular del intestino.,3. No recibe inervación del sistema nervioso autónomo.,4. Contiene neuronas preganglionares simpáticas.,2,2018
41. La secreción de las células acinares pancreáticas:,1. Contiene tripsina.,2. Se estimula por colecistoquinina.,3. Se inhibe por acetilcolina.,4. Contiene principalmente agua y bicarbonato.,2,2018
42. El factor intrínseco es necesario para la absorción intestinal de:,1. Cobalamina.,2. Vitamina B6.,3. Vitamina C.,4. Ácido fólico.,1,2018
43. La respuesta a una bajada térmica ambiental es:,1. Sudoración.,2. Jadeo.,3. Activación del tejido adiposo pardo.,4. Vasodilatación periférica.,3,2018
44. Presentan hebras de sellado que unen las membranas de células vecinas:,1. Uniones ocluyentes.,2. Uniones adherentes.,3. Desmosomas.,4. Hemidesmosomas.,1,2018
45. Conjunto de oligosacáridos unidos covalentemente a proteínas y lípidos de la membrana plasmática:,1. Glicocálix.,2. Lámina basal.,3. Matriz extracelular.,4. Mucina.,1,2018
46. El transporte de proteínas entre núcleo y citoplasma requiere de:,1. Gradiente de Na+ establecido por ATPasaNa+/K+.,2. Gradiente de H+ establecido por la ATPasaH+/K+.,3. Hidrólisis de ATP.,4. Hidrólisis de GTP,4,2018
47. El receptor de la manosa-6-fosfato viaja desde el complejo de Golgi a:,1. Lisosomas.,2. Peroxisomas.,3. Endosomas.,4. Retículo endoplásmico.,3,2018
48. Lleva a cabo la ramificación de los filamentos de actina:,1. Centrosoma.,2. Complejo Arp2/3.,3. Formina.,4. Cofilina.,2,2018
"49. Durante la reptación celular, el frente de avance presenta:",1. Cilios.,2. Flagelos.,3. Estereocilios.,4. Lamelipodios.,4,2018
"50. Durante la mitosis, tras el alineamiento cromosómico, se activa el complejo promotor de:",1. Fase M (MPF).,2. Anafase (APC).,3. Telofase (TPC).,4. Metafase (MPC).,2,2018
51. Los ovocitos del ovario de una niña prepuberal están en:,1. Profase I.,2. Profase II.,3. Metafase I.,4. Metafase II.,1,2018
52. Fina capa de matriz extracelular que separa los tejidos epitelial y conjuntivo:,1. Lámina basal.,2. Lámina propia.,3. Lámina elástica.,4. Glicocálix.,1,2018
53. Célula adosada externamente al endotelio de capilares y vénulas:,1. Célula satélite.,2. Pericito.,3. Pituicito.,4. Pinealocito.,2,2018
54. La fibrilina es un componente de las fibras:,1. Colágenas.,2. Elásticas.,3. Reticulares.,4. Fibrina.,2,2018
55. Es un tejido avascular:,1. Conjuntivo laxo.,2. Adiposo.,3. Cartilaginoso.,4. Óseo.,3,2018
56.  No abandona la médula ósea:,1. Eritrocito.,2. Monocito.,3. Megacariocito.,4. Linfocito.,3,2018
57. Pertenece al sistema fagocítico mononuclear:,1. Astrocito.,2. Oligodendrocito.,3. Célula de Schwam.,4. Microgliocito.,4,2018
58. Un epitelio simple siempre:,1. Está formado por células cúbicas.,2. Consta de un solo estrato celular.,3. Origina glándulas simples.,4. Está formado por células planas.,2,2018
59. Es una glándula compuesta la que presenta:,1. Varios tipos de células secretoras.,2. Adenómeros ramificados.,3. Conducto excretor ramificado.,4. Adenómeros y conductos excretores ramificados.,3,2018
60. ¿Qué orgánulos están implicados en la síntesis de hormonas esteroideas?:,1. Retículo endoplasmático rugoso y Golgi.,2. Retículo endoplasmático rugoso y liso.,3. Retículo endoplasmático liso y Golgi.,4. Retículo endoplasmático liso y mitocondrias.,4,2018
61. Es una célula secretora de histamina:,1. Célula cebada o mastocito.,2. Macrófago.,3. Linfocito activado.,4. Fibroblasto.,1,2018
